"document_id","gstruct_id","gsent_id","ganalysis","gtoken_id","gseq_id","ghead_uniq","div_book","div_chapter","div_section","gform","low_un","translit","glemma","bgmpos","postag","relation","gsint_id","ghead_int"
"0031-003",518295,1,"manual",110123803,_,110123828,"1","1","1-1","ἐπειδήπερ",_,_,"ἐπειδή",_,"c--------","AuxC",_,_
"0031-003",518295,1,"manual",110123804,_,110123805,"1","1","1-1","πολλοὶ",_,_,"πολύς",_,"a-p---mn-","SBJ",_,_
"0031-003",518295,1,"manual",110123805,_,110123803,"1","1","1-1","ἐπεχείρησαν",_,_,"ἐπιχειρέω",_,"v3paia---","ADV",_,_
"0031-003",518295,1,"manual",110123806,_,110123805,"1","1","1-1","ἀνατάξασθαι",_,_,"ἀνατάσσω",_,"v--anm---","OBJ",_,_
"0031-003",518295,1,"manual",110123807,_,110123806,"1","1","1-1","διήγησιν",_,_,"διήγησις",_,"n-s---fa-","OBJ",_,_
"0031-003",518295,1,"manual",110123808,_,110123807,"1","1","1-1","περὶ",_,_,"περί",_,"r--------","AuxP",_,_
"0031-003",518295,1,"manual",110123809,_,110123813,"1","1","1-1","τῶν",_,_,"ὁ",_,"l-p---ng-","ATR",_,_
"0031-003",518295,1,"manual",110123810,_,110123813,"1","1","1-1","πεπληροφορημένων",_,_,"πληροφορέω",_,"v-prpmng-","ATR",_,_
"0031-003",518295,1,"manual",110123811,_,110123810,"1","1","1-1","ἐν",_,_,"ἐν",_,"r--------","AuxP",_,_
"0031-003",518295,1,"manual",110123812,_,110123811,"1","1","1-1","ἡμῖν",_,_,"ἐγώ",_,"p1p---cd-","OBJ",_,_
"0031-003",518295,1,"manual",110123813,_,110123808,"1","1","1-1","πραγμάτων",_,_,"πρᾶγμα",_,"n-p---ng-","ATR",_,_
"0031-003",518295,1,"manual",110123814,_,0,"1","1","1-1",",",_,_,"_",_,"u--------","AuxX",_,_
"0031-003",518295,1,"manual",110123815,_,110123816,"1","1","1-2","καθὼς",_,_,"καθώς",_,"d--------","ADV",_,_
"0031-003",518295,1,"manual",110123816,_,110123806,"1","1","1-2","παρέδοσαν",_,_,"παραδίδωμι",_,"v3paia---","ADV",_,_
"0031-003",518295,1,"manual",110123817,_,110123816,"1","1","1-2","ἡμῖν",_,_,"ἐγώ",_,"p1p---cd-","OBJ",_,_
"0031-003",518295,1,"manual",110123818,_,110123824,"1","1","1-2","οἱ",_,_,"ὁ",_,"l-p---mn-","ATR",_,_
"0031-003",518295,1,"manual",110123819,_,110123824,"1","1","1-2","ἀπ’",_,_,"ἀπό",_,"r--------","AuxP",_,_
"0031-003",518295,1,"manual",110123820,_,110123819,"1","1","1-2","ἀρχῆς",_,_,"ἀρχή",_,"n-s---fg-","ADV",_,_
"0031-003",518295,1,"manual",110123821,_,110123822,"1","1","1-2","αὐτόπται",_,_,"αὐτόπτης",_,"n-p---mn-","PNOM_CO",_,_
"0031-003",518295,1,"manual",110123822,_,110123824,"1","1","1-2","καὶ",_,_,"καί",_,"b--------","COORD",_,_
"0031-003",518295,1,"manual",110123823,_,110123822,"1","1","1-2","ὑπηρέται",_,_,"ὑπηρέτης",_,"n-p---mn-","PNOM_CO",_,_
"0031-003",518295,1,"manual",110123824,_,110123816,"1","1","1-2","γενόμενοι",_,_,"γίγνομαι",_,"v-papmmn-","SBJ",_,_
"0031-003",518295,1,"manual",110123825,_,110123826,"1","1","1-2","τοῦ",_,_,"ὁ",_,"l-s---mg-","ATR",_,_
"0031-003",518295,1,"manual",110123826,_,110123823,"1","1","1-2","λόγου",_,_,"λόγος",_,"n-s---mg-","ATR",_,_
"0031-003",518295,1,"manual",110123827,_,0,"1","1","1-2",",",_,_,"_",_,"u--------","AuxX",_,_
"0031-003",518295,1,"manual",110123828,_,0,"1","1","1-3","ἔδοξε",_,_,"δοκέω",_,"v3saia---","PRED",_,_
"0031-003",518295,1,"manual",110123829,_,110123830,"1","1","1-3","κα-",_,_,"καί",_,"d--------","AuxZ",_,_
"0031-003",518295,1,"manual",110123830,_,110123828,"1","1","1-3","κἀμοὶ",_,_,"ἐγώ",_,"p1s---cd-","OBJ",_,_
"0031-003",518295,1,"manual",110123831,_,110123828,"1","1","1-3","παρηκολουθηκότι",_,_,"παρακολουθέω",_,"v-srpamd-","ADV",_,_
"0031-003",518295,1,"manual",110123832,_,110123831,"1","1","1-3","ἄνωθεν",_,_,"ἄνωθεν",_,"d--------","ADV",_,_
"0031-003",518295,1,"manual",110123833,_,110123831,"1","1","1-3","πᾶσιν",_,_,"πᾶς",_,"a-p---nd-","OBJ",_,_
"0031-003",518295,1,"manual",110123834,_,110123831,"1","1","1-3","ἀκριβῶς",_,_,"ἀκριβής",_,"d--------","ADV",_,_
"0031-003",518295,1,"manual",110123835,_,110123837,"1","1","1-3","καθεξῆς",_,_,"καθεξῆς",_,"d--------","ADV",_,_
"0031-003",518295,1,"manual",110123836,_,110123837,"1","1","1-3","σοι",_,_,"σύ",_,"p2s---cd-","OBJ",_,_
"0031-003",518295,1,"manual",110123837,_,110123828,"1","1","1-3","γράψαι",_,_,"γράφω",_,"v--ana---","OBJ",_,_
"0031-003",518295,1,"manual",110123838,_,0,"1","1","1-3",",",_,_,"_",_,"u--------","AuxX",_,_
"0031-003",518295,1,"manual",110123839,_,110123840,"1","1","1-3","κράτιστε",_,_,"κρατύς",_,"a-s---mvs","ATR",_,_
"0031-003",518295,1,"manual",110123840,_,110123828,"1","1","1-3","Θεόφιλε",_,_,"Θεόφιλος",_,"n-s---mv-","ExD",_,_
"0031-003",518295,1,"manual",110123841,_,0,"1","1","1-3",",",_,_,"_",_,"u--------","AuxX",_,_
"0031-003",518295,1,"manual",110123842,_,110123837,"1","1","1-4","ἵνα",_,_,"ἵνα",_,"c--------","AuxC",_,_
"0031-003",518295,1,"manual",110123843,_,110123842,"1","1","1-4","ἐπιγνῷς",_,_,"ἐπιγιγνώσκω",_,"v2sasa---","ADV",_,_
"0031-003",518295,1,"manual",110123844,_,110123846,"1","1","1-4","περὶ",_,_,"περί",_,"r--------","AuxP",_,_
"0031-003",518295,1,"manual",110123845,_,110123847,"1","1","1-4","ὧν",_,_,"ὅς",_,"p-p---mg-","ATR",_,_
"0031-003",518295,1,"manual",110123846,_,110123849,"1","1","1-4","κατηχήθης",_,_,"κατηχέω",_,"v2saip---","ATR",_,_
"0031-003",518295,1,"manual",110123847,_,110123844,"1","1","1-4","λόγων",_,_,"λόγος",_,"n-p---mg-","OBJ",_,_
"0031-003",518295,1,"manual",110123848,_,110123849,"1","1","1-4","τὴν",_,_,"ὁ",_,"l-s---fa-","ATR",_,_
"0031-003",518295,1,"manual",110123849,_,110123843,"1","1","1-4","ἀσφάλειαν",_,_,"ἀσφάλεια",_,"n-s---fa-","OBJ",_,_
"0031-003",518295,1,"manual",110123850,_,0,"1","1","1-4",".",_,_,"_",_,"u--------","AuxK",_,_
"0031-003",518296,2,"manual",110123851,_,110123875,"1","1","1-5","ἐγένετο",_,_,"γίγνομαι",_,"v3saim---","PRED_CO",_,_
"0031-003",518296,2,"manual",110123852,_,110123851,"1","1","1-5","ἐν",_,_,"ἐν",_,"r--------","AuxP",_,_
"0031-003",518296,2,"manual",110123853,_,110123854,"1","1","1-5","ταῖς",_,_,"ὁ",_,"l-p---fd-","ATR",_,_
"0031-003",518296,2,"manual",110123854,_,110123852,"1","1","1-5","ἡμέραις",_,_,"ἡμέρα",_,"n-p---fd-","ADV",_,_
"0031-003",518296,2,"manual",110123855,_,110123854,"1","1","1-5","Ἡρῴδου",_,_,"Ἡρῴδης",_,"n-s---mg-","ATR",_,_
"0031-003",518296,2,"manual",110123856,_,110123855,"1","1","1-5","βασιλέως",_,_,"βασιλεύς",_,"n-s---mg-","APOS",_,_
"0031-003",518296,2,"manual",110123857,_,110123858,"1","1","1-5","τῆς",_,_,"ὁ",_,"l-s---fg-","ATR",_,_
"0031-003",518296,2,"manual",110123858,_,110123856,"1","1","1-5","Ἰουδαίας",_,_,"Ἰουδαία",_,"n-s---fg-","ATR",_,_
"0031-003",518296,2,"manual",110123859,_,110123851,"1","1","1-5","ἱερεύς",_,_,"ἱερεύς",_,"n-s---mn-","SBJ",_,_
"0031-003",518296,2,"manual",110123860,_,110123859,"1","1","1-5","τις",_,_,"τις",_,"p-s---cn-","ATR",_,_
"0031-003",518296,2,"manual",110123861,_,110123862,"1","1","1-5","ὀνόματι",_,_,"ὄνομα",_,"n-s---nd-","ATR",_,_
"0031-003",518296,2,"manual",110123862,_,110123859,"1","1","1-5","Ζαχαρίας",_,_,"Ζαχαρίας",_,"n-s---mn-","APOS",_,_
"0031-003",518296,2,"manual",110123863,_,110123859,"1","1","1-5","ἐξ",_,_,"ἐκ",_,"r--------","AuxP",_,_
"0031-003",518296,2,"manual",110123864,_,110123863,"1","1","1-5","ἐφημερίας",_,_,"ἐφημερία",_,"n-s---fg-","ATR",_,_
"0031-003",518296,2,"manual",110123865,_,110123864,"1","1","1-5","Ἀβιά",_,_,"Ἀβιά",_,"n--------","ATR",_,_
"0031-003",518296,2,"manual",110123866,_,0,"1","1","1-5",",",_,_,"_",_,"u--------","AuxX",_,_
"0031-003",518296,2,"manual",110123867,_,110123875,"1","1","1-5","καὶ",_,_,"καί",_,"b--------","AuxY",_,_
"0031-003",518296,2,"manual",110123868,_,1000016654,"1","1","1-5","γυνὴ",_,_,"γυνή",_,"n-s---fn-","SBJ",_,_
"0031-003",518296,2,"manual",110123869,_,1000016654,"1","1","1-5","αὐτῷ",_,_,"αὐτός",_,"p-s---md-","OBJ",_,_
"0031-003",518296,2,"manual",110123870,_,1000016654,"1","1","1-5","ἐκ",_,_,"ἐκ",_,"r--------","AuxP",_,_
"0031-003",518296,2,"manual",110123871,_,110123872,"1","1","1-5","τῶν",_,_,"ὁ",_,"l-p---fg-","ATR",_,_
"0031-003",518296,2,"manual",110123872,_,110123870,"1","1","1-5","θυγατέρων",_,_,"θυγάτηρ",_,"n-p---fg-","PNOM",_,_
"0031-003",518296,2,"manual",110123873,_,110123872,"1","1","1-5","Ἀαρών",_,_,"Ἀαρών",_,"n--------","ATR",_,_
"0031-003",518296,2,"manual",110123874,_,0,"1","1","1-5",",",_,_,"_",_,"u--------","AuxX",_,_
"0031-003",518296,2,"manual",110123875,_,0,"1","1","1-5","καὶ",_,_,"καί",_,"b--------","COORD",_,_
"0031-003",518296,2,"manual",110123876,_,110123877,"1","1","1-5","τὸ",_,_,"ὁ",_,"l-s---nn-","ATR",_,_
"0031-003",518296,2,"manual",110123877,_,1000016653,"1","1","1-5","ὄνομα",_,_,"ὄνομα",_,"n-s---nn-","SBJ",_,_
"0031-003",518296,2,"manual",110123878,_,110123877,"1","1","1-5","αὐτῆς",_,_,"αὐτός",_,"p-s---fg-","ATR",_,_
"0031-003",518296,2,"manual",110123879,_,1000016653,"1","1","1-5","Ἐλισάβετ",_,_,"Ἐλισαβέτ",_,"n--------","PNOM",_,_
"0031-003",518296,2,"manual",110123880,_,0,"1","1","1-5",".",_,_,"_",_,"u--------","AuxK",_,_
"0031-003",518296,2,"manual",1000016654,_,110123875,"1","1","1-5","E",_,_,"_",_,"z--------","PRED_CO",_,_
"0031-003",518296,2,"manual",1000016653,_,110123875,"1","1","1-5","E",_,_,"_",_,"z--------","PRED_CO",_,_
"0031-003",518297,3,"manual",110123881,_,0,"1","1","1-6","ἦσαν",_,_,"εἰμί",_,"v3piia---","PRED",_,_
"0031-003",518297,3,"manual",110123882,_,110123881,"1","1","1-6","δὲ",_,_,"δέ",_,"b--------","AuxY",_,_
"0031-003",518297,3,"manual",110123883,_,110123881,"1","1","1-6","δίκαιοι",_,_,"δίκαιος",_,"a-p---mn-","PNOM",_,_
"0031-003",518297,3,"manual",110123884,_,110123881,"1","1","1-6","ἀμφότεροι",_,_,"ἀμφότερος",_,"a-p---mn-","SBJ",_,_
"0031-003",518297,3,"manual",110123885,_,110123883,"1","1","1-6","ἐναντίον",_,_,"ἐναντίον",_,"r--------","AuxP",_,_
"0031-003",518297,3,"manual",110123886,_,110123887,"1","1","1-6","τοῦ",_,_,"ὁ",_,"l-s---mg-","ATR",_,_
"0031-003",518297,3,"manual",110123887,_,110123885,"1","1","1-6","θεοῦ",_,_,"θεός",_,"n-s---mg-","ADV",_,_
"0031-003",518297,3,"manual",110123888,_,0,"1","1","1-6",",",_,_,"_",_,"u--------","AuxX",_,_
"0031-003",518297,3,"manual",110123889,_,110123881,"1","1","1-6","πορευόμενοι",_,_,"πορεύω",_,"v-pppmmn-","ADV",_,_
"0031-003",518297,3,"manual",110123890,_,110123889,"1","1","1-6","ἐν",_,_,"ἐν",_,"r--------","AuxP",_,_
"0031-003",518297,3,"manual",110123891,_,110123893,"1","1","1-6","πάσαις",_,_,"πᾶς",_,"a-p---fd-","ATR",_,_
"0031-003",518297,3,"manual",110123892,_,110123893,"1","1","1-6","ταῖς",_,_,"ὁ",_,"l-p---fd-","ATR",_,_
"0031-003",518297,3,"manual",110123893,_,110123894,"1","1","1-6","ἐντολαῖς",_,_,"ἐντολή",_,"n-p---fd-","ADV_CO",_,_
"0031-003",518297,3,"manual",110123894,_,110123890,"1","1","1-6","καὶ",_,_,"καί",_,"b--------","COORD",_,_
"0031-003",518297,3,"manual",110123895,_,110123894,"1","1","1-6","δικαιώμασιν",_,_,"δικαίωμα",_,"n-p---nd-","ADV_CO",_,_
"0031-003",518297,3,"manual",110123896,_,110123897,"1","1","1-6","τοῦ",_,_,"ὁ",_,"l-s---mg-","ATR",_,_
"0031-003",518297,3,"manual",110123897,_,110123895,"1","1","1-6","κυρίου",_,_,"κύριος",_,"n-s---mg-","ATR",_,_
"0031-003",518297,3,"manual",110123898,_,110123889,"1","1","1-6","ἄμεμπτοι",_,_,"ἄμεμπτος",_,"a-p---mn-","PNOM",_,_
"0031-003",518297,3,"manual",110123899,_,0,"1","1","1-6",".",_,_,"_",_,"u--------","AuxK",_,_
"0031-003",518298,4,"manual",110123900,_,110123902,"1","1","1-7","καὶ",_,_,"καί",_,"d--------","AuxZ",_,_
"0031-003",518298,4,"manual",110123901,_,110123902,"1","1","1-7","οὐκ",_,_,"οὐ",_,"d--------","AuxZ",_,_
